,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
1097,E(o),92.881,30.879,2019,52.44,4982,0,other,0,57.10300772173118
1098,E(o),92.86,30.878,2019,21.32,4925,0,other,0,41.30986157025913
1099,E(o),92.775,30.739,2019,11.7,4864,0,other,0,4.553763893839756
1100,E(o),92.875,30.736,2019,20.95,4911,0,other,0,13.584580883698218
1101,E(o),92.191,29.989,2019,13.63,5123,0,other,0,9.333152762002362
1102,E(o),92.068,29.928,2019,14.0,4939,0,other,0,9.494536539046786
1103,E(o),92.208,29.866,2019,16.79,5227,0,other,0,11.057987805293633
1104,E(o),92.242,29.83,2019,15.07,5179,0,other,0,9.659653719251589
1105,E(o),92.043,29.57,2019,13.57,5312,0,other,0,9.05990924851285
1106,E(o),92.395,29.808,2019,24.92,5052,0,other,0,27.278264743708167
1107,E(o),92.413,29.796,2019,15.75,4975,0,other,0,61.104567406785065
1108,E(o),92.389,29.795,2019,17.68,4976,0,other,0,141.93015273189513
1109,E(o),92.388,29.779,2019,154.54,4916,0,other,0,141.93015273189513
1110,E(o),92.457,29.778,2019,11.84,4996,0,other,0,10.60085565497084
1111,E(o),92.442,29.77,2019,14.89,4924,0,other,0,10.60085565497084
1112,O,92.387,29.734,2019,16.53,4746,0,other,0,10.526732676805855
1113,E(o),92.394,29.667,2019,53.86,4677,0,other,0,30.586788944206805
1114,E(o),92.253,29.639,2019,35.47,4862,0,other,0,25.600032489571706
1115,E(o),92.327,29.619,2019,11.54,4974,0,other,0,4.137467318850086
1116,O,93.097,31.148,2019,10.32,4994,0,other,0,20.51994681744639
1117,O,93.119,31.147,2019,27.83,5002,0,other,0,20.51994681744639
1118,O,93.177,31.132,2019,692.16,5007,0,other,0,653.6719528823006
1119,E(o),93.144,31.103,2019,101.01,5024,0,other,0,93.18957190300561
1120,E(o),93.163,31.081,2019,14.03,5071,0,other,0,28.064996845315857
1121,O,93.05,31.078,2019,40.27,4950,0,other,0,16.843101254290417
1122,E(o),93.088,31.004,2019,71.5,5040,0,other,0,63.26897295935959
1123,E(o),93.292,31.065,2019,51.21,5047,0,other,0,36.306468383867916
1124,E(o),93.301,31.054,2019,20.6,5055,0,other,0,36.306468383867916
1125,O,93.016,30.909,2019,15.25,4958,0,other,0,12.250375900370043
1126,E(o),93.018,30.903,2019,11.34,4957,0,other,0,12.250375900370043
1127,M(e),90.223,28.928,2019,48.29,5109,0,moraine,0,53.44844717687281
1128,M(e),90.192,28.257,2019,10.09,5451,0,moraine,0,60.51646915082304
1129,M(e),90.185,28.245,2019,60.02,5455,0,moraine,0,60.51646915082304
1130,M(e),90.276,28.265,2019,11.44,5829,0,moraine,0,12.812895372276481
1131,M(e),90.622,28.454,2019,19.35,5286,0,moraine,0,74.68373936329772
1132,E(o),91.115,28.592,2019,11.65,5362,0,other,0,8.98863069057416
1133,E(o),91.155,28.587,2019,10.48,5563,0,other,0,8.91024938375478
1134,O,91.525,28.546,2019,101.76,5083,0,other,0,103.96709742299188
1135,O,91.597,28.538,2019,26.23,5070,0,other,0,3.628775351913387
1136,O,91.562,28.53,2019,45.15,5153,0,other,0,7.021428734807789
1137,M(e),90.496,28.238,2019,15.24,5608,0,moraine,0,71.52071441835596
1138,M(e),90.384,28.204,2019,33.11,5424,0,moraine,0,131.23098552267257
1139,M(e),90.674,28.333,2019,11.37,4650,0,moraine,0,11.381878775574064
1140,E(c),90.741,28.303,2019,10.96,4769,0,other,0,73.52023863253577
1141,M(e),90.647,28.3,2019,28.67,5467,0,moraine,0,178.32461301514
1142,M(e),90.607,28.299,2019,11.67,5354,0,moraine,0,33.370578499237645
1143,M(e),90.736,28.273,2019,167.03,4510,0,moraine,0,133.2561630054631
1144,M(e),90.589,28.272,2019,45.4,5414,0,moraine,0,43.90049498119174
1145,M(e),90.712,28.247,2019,18.15,4689,0,moraine,0,83.93450273206241
1146,M(e),90.743,28.244,2019,11.99,4657,0,moraine,0,83.77628535981081
1147,M(e),90.724,28.241,2019,88.56,4654,0,moraine,0,83.93450273206241
1148,M(e),90.506,28.241,2019,21.53,5470,0,moraine,0,71.52071441835596
1149,M(e),90.604,28.129,2019,10.46,5199,0,moraine,0,32.080202743226906
1150,M(e),90.566,28.123,2019,67.52,5172,0,moraine,0,65.8916905241313
1151,M(e),90.738,28.096,2019,67.74,5004,0,moraine,0,67.49241434172835
1152,M(e),90.605,28.086,2019,35.31,5202,0,moraine,0,32.47625438030462
1153,E(o),90.652,28.081,2019,18.65,4999,0,other,0,28.444857698097838
1154,M(o),90.743,28.078,2019,17.78,5172,0,moraine,0,141.61268790142208
1155,M(e),90.661,28.078,2019,10.04,5074,0,moraine,0,29.234791754969642
1156,M(o),90.584,28.078,2019,10.66,5312,0,moraine,0,36.92784200356766
1157,M(o),90.656,28.071,2019,40.3,5020,0,moraine,0,28.444857698097838
1158,M(o),90.648,28.064,2019,24.57,5105,0,moraine,0,33.76117806439218
1159,M(e),90.602,28.059,2019,40.1,4862,0,moraine,0,42.31641273400981
1160,M(e),90.597,28.049,2019,31.09,4990,0,moraine,0,42.31641273400981
1161,E(o),90.851,28.353,2019,14.81,4624,0,other,0,10.747577294913354
1162,E(o),90.852,28.307,2019,14.1,4648,0,other,0,23.08674613903028
1163,M(o),90.75,28.281,2019,30.82,4722,0,moraine,0,133.2561630054631
1164,M(e),90.787,28.086,2019,216.41,5165,0,moraine,0,235.8517479735383
1165,E(o),90.903,28.059,2019,52.05,4768,0,other,0,50.00303313388084
1166,E(o),90.953,28.049,2019,40.51,4642,0,other,0,30.274107896463644
1167,M(o),90.919,28.046,2019,16.66,4933,0,moraine,0,50.00303313388084
1168,M(o),90.907,28.04,2019,11.45,4924,0,moraine,0,48.4975078521604
1169,M(o),90.84,28.021,2019,15.82,4985,0,moraine,0,20.214728467819974
1170,M(o),90.843,28.018,2019,18.96,4957,0,moraine,0,20.214728467819974
1171,E(o),90.929,28.016,2019,18.07,4801,0,other,0,59.38352737932642
1172,E(o),90.979,28.015,2019,12.17,4252,0,other,0,17.83488002361875
1173,E(c),90.984,28.013,2019,20.9,4277,0,other,0,24.889289170294635
1174,E(o),90.905,28.003,2019,87.32,4754,0,other,0,74.76556597285145
1175,E(o),90.932,28.001,2019,13.93,4663,0,other,0,74.36912053222252
1176,M(e),91.079,28.351,2019,77.2,4787,0,moraine,0,258.2892168939074
1177,M(e),91.07,28.305,2019,18.87,4727,0,moraine,0,72.97609094415209
1178,E(c),91.234,28.075,2019,11.43,4686,0,other,0,44.919771202461575
1179,E(o),91.004,28.045,2019,12.84,4085,0,other,0,44.14971018527245
1180,E(o),91.003,28.034,2019,76.9,4200,0,other,0,44.14971018527245
