Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,expansion_ha_peryr_5y,expansion_ha_peryr_10y
1654,E(o),93.276,29.24,2023,58.59,4914,0,other,0,48.03244683942688,1.065623073270639,0.0783571369074238
1655,E(o),93.306,29.22,2023,35.12,4887,0,other,0,27.195145810881343,0.8620992644591361,0.1410726953611895
1656,E(o),93.346,29.197,2023,10.94,4841,0,other,0,11.993701003119549,0.6428063946313671,-0.0235173172853913
1657,E(c),93.327,29.196,2023,17.01,4728,0,other,0,11.993701003119549,0.6428063946313671,-0.0235173172853913
1658,E(o),93.275,29.19,2023,11.02,5021,0,other,0,12.779651936127475,0.1880998448446068,0.0784024200934512
1659,E(o),93.272,29.18,2023,17.38,4932,0,other,0,12.779651936127475,-0.9092583713111356,0.0784024200934512
1660,M(o),93.298,29.178,2023,11.66,4915,0,moraine,0,12.779651936127475,0.3606538039214616,0.0784024200934512
1661,E(o),93.326,29.125,2023,10.42,4886,0,other,0,2.745528803009458,-0.7687567082026537,0.0705748394416192
1662,E(o),93.502,29.497,2023,15.32,4702,0,other,0,11.096391605349664,0.3903657971229322,0.1326553700693623
1663,E(o),93.59,29.466,2023,30.38,4615,0,other,0,25.09677507636622,0.2501872174132487,0.187639297706837
1664,E(o),93.556,29.462,2023,21.52,4719,0,other,0,16.34096136894216,2.220732174307183,-0.0078188978567187
1665,E(o),93.739,29.419,2023,14.71,4594,0,other,0,9.855665012990183,-0.4063418466964734,0.0469341758943027
1666,E(o),93.691,29.417,2023,38.87,4557,0,other,0,104.02116440646876,-3.1439139179081224,4.487953318985403
1667,E(o),93.708,29.405,2023,74.32,4505,0,other,0,59.45473831146655,0.4224536881813705,-0.1799208044170896
1668,E(o),93.65,29.404,2023,31.08,4624,0,other,0,27.380696088318903,0.0625848654591806,-0.1022968124823236
1669,E(o),93.682,29.396,2023,15.84,4888,0,other,0,45.92045474773715,0.2033984007396668,-0.2346852803925003
1670,E(o),93.61,29.389,2023,15.44,4772,0,other,0,11.34556289854338,-2.5039872156265535,-0.1251912932119672
1671,E(o),93.64,29.383,2023,39.57,4717,0,other,0,29.18627731344361,0.4237011104841215,-0.101716501336773
