Latitude,Longitude,Subbasin,GL Type,Area (ha),Elevation (m)
29.005,95.905,Dibang,E(o),54.45,"3,598"
29.302,96.082,Dibang,E(o),119.59,"4,274"
29.269,96.157,Dibang,E(o),102.66,"3,991"
29.229,96.192,Dibang,E(o),106.39,"3,473"
29.226,96.16,Dibang,E(o),57.36,"3,313"
29.196,96.203,Dibang,E(o),64.06,"4,246"
29.091,96.211,Dibang,E(o),100.77,"4,188"
29.079,96.145,Dibang,E(c),86.02,"3,945"
29.051,96.144,Dibang,O,79.93,"3,602"
29.244,96.245,Dibang,E(o),50.88,"4,360"
28.776,96.531,Dibang,O,101.67,"3,510"
29.257,96.246,Lohit,M(o),89.3,"4,432"
29.224,96.279,Lohit,M(o),66.27,"4,207"
29.491,96.701,Lohit,O,610.17,"3,916"
29.462,96.787,Lohit,O,518,"3,916"
29.397,96.828,Lohit,E(o),401.62,"3,917"
29.298,96.816,Lohit,M(e),292.36,"3,954"
29.295,96.835,Lohit,M(l),95.04,"4,013"
29.268,96.837,Lohit,E(o),108.04,"4,119"
29.238,96.826,Lohit,M(o),209.76,"4,219"
29.23,96.805,Lohit,M(o),144,"4,266"
29.221,96.814,Lohit,M(e),52.51,"4,279"
28.516,96.699,Lohit,E(o),299.2,"3,330"
28.202,96.898,Lohit,E(o),67.3,"3,731"
28.977,97.215,Lohit,E(o),63.42,"4,092"
28.783,97.153,Lohit,E(o),83.11,"3,712"
28.94,97.262,Lohit,E(o),93.63,"4,412"
28.412,97.465,Lohit,E(o),56.61,"4,300"
28.096,97.289,Lohit,E(o),53.06,"3,762"
27.989,97.369,Lohit,E(o),51.93,"4,188"
