S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
197,35.092,76.252,Shyok,M(e),24.01,"4,533"
198,35.074,76.293,Shyok,E(c),12.08,"4,599"
199,35.056,76.261,Indus Upper,E(o),16.89,"4,881"
200,35.011,76.32,Indus Upper,E(o),15.36,"4,753"
201,34.351,76.075,Indus Upper,M(e),10.63,"4,435"
202,34.854,76.383,Indus Upper,E(o),13.61,"4,688"
203,34.854,76.368,Indus Upper,E(o),13.27,"4,821"
204,34.833,76.352,Indus Upper,E(o),10.34,"4,818"
205,34.827,76.456,Shyok,E(o),19.82,"4,648"
206,34.818,76.409,Indus Upper,E(o),10.2,"4,816"
207,34.772,76.5,Indus Upper,E(o),10.53,"4,761"
208,34.762,76.469,Indus Upper,E(o),17.67,"4,895"
209,34.813,76.517,Shyok,E(o),20.6,"4,771"
210,34.811,76.502,Shyok,E(o),12.91,"4,762"
211,34.765,76.711,Shyok,E(o),10.06,"5,123"
212,34.051,76.718,Indus Upper,M(e),15.8,"5,093"
213,34.005,76.721,Indus Upper,M(e),18.32,"5,050"
214,34.671,76.758,Shyok,E(o),29.88,"4,965"
215,34.006,76.788,Indus Upper,M(e),14.15,"5,126"
216,33.945,76.23,Indus Upper,M(e),49.66,"4,357"
217,33.942,76.019,Chenab,M(e),24.05,"4,197"
218,33.868,76.121,Chenab,M(e),39.44,"4,071"
219,33.844,76.375,Indus Upper,M(e),18.49,"4,116"
220,33.507,76.45,Chenab,O,16.41,"4,219"
221,33.159,76.984,Indus Upper,M(e),59.78,"4,479"
222,32.336,76.332,Ravi,E(o),25.65,"3,971"
223,35.476,77.513,Shyok,M(lg),21.93,"5,342"
224,35.032,77.7,Shyok,M(l),18.02,"5,161"
225,35.06,77.856,Shyok,O,32.78,"4,679"
226,34.905,77.616,Shyok,M(e),14.51,"5,125"
227,34.398,77.983,Shyok,M(e),28.02,"5,344"
228,33.556,77.664,Indus Upper,O,10.15,"5,222"
229,33.999,77.979,Shyok,O,43.72,"4,991"
230,32.526,77.22,Chenab,M(e),77.59,"4,069"
231,32.499,77.547,Chenab,M(e),128.69,"4,150"
232,32.483,77.615,Chenab,E(o),47.3,"4,276"
233,34.521,78.09,Shyok,M(e),10.62,"5,270"
234,34.52,78.101,Shyok,M(e),10.28,"5,265"
235,34.457,78.136,Shyok,M(o),95.68,"5,295"
236,34.446,78.143,Shyok,M(e),20.53,"5,311"
237,34.401,78.079,Shyok,M(e),20.39,"5,307"
238,34.39,78.089,Shyok,E(o),11.16,"5,226"
239,34.233,78.426,Shyok,O,64.78,"5,350"
240,34.2,78.516,Shyok,E(o),24.44,"5,386"
241,34.151,78.553,Shyok,E(o),65.02,"5,566"
242,33.281,78.23,Indus Upper,E(o),34.7,"5,646"
243,33.137,78.197,Indus Upper,M(o),10.3,"5,733"
244,33.496,78.498,Shyok,E(o),16.54,"5,428"
245,33.455,78.498,Shyok,O,147.89,"5,308"
246,33.427,78.488,Shyok,O,177.73,"5,284"
247,33.055,78.47,Satluj,M(o),36.49,"5,745"
248,33.558,78.506,Shyok,E(c),25.33,"5,665"
249,33.517,78.519,Shyok,E(o),13.66,"5,404"
250,33.474,78.502,Shyok,O,15.1,"5,312"
251,32.363,78.272,Satluj,M(e),13.59,"5,357"
252,32.736,78.726,Indus Upper,M(e),34.79,"5,626"
253,32.492,78.852,Indus Upper,M(e),11.12,"5,706"
254,32.441,78.925,Indus Upper,M(e),10.65,"5,680"
255,32.409,78.9,Indus Upper,M(e),30.44,"5,468"
256,32.32,78.979,Satluj,M(o),10.51,"5,498"
257,32.029,78.845,Satluj,M(e),15.62,"5,621"
258,32.21,79.044,Satluj,O,21.55,"5,272"
259,32.377,79.393,Satluj,O,24.86,"5,448"
260,32.399,79.622,Indus Upper,E(o),23.72,"5,058"
261,32.389,79.659,Indus Upper,M(e),12.3,"5,720"
262,32.298,79.662,Indus Upper,E(o),17.15,"5,690"
263,31.661,78.168,Satluj,M(e),23.2,"4,255"
264,31.339,78.254,Satluj,M(o),11.46,"4,676"
265,31.993,78.845,Satluj,M(e),20.9,"5,613"
266,31.919,78.784,Satluj,M(e),13.44,"5,351"
267,31.914,78.84,Satluj,M(e),18.03,"5,583"
268,31.554,78.751,Satluj,M(e),10.67,"5,276"
269,31.984,79.958,Indus Upper,M(e),15.73,"5,544"
270,31.95,79.986,Indus Upper,M(e),10.43,"5,449"
271,31.937,79.994,Indus Upper,M(e),14.46,"5,494"
272,31.925,79.865,Satluj,E(o),31.43,"5,356"
273,31.909,79.988,Indus Upper,E(o),14.06,"5,558"
274,31.9,79.986,Indus Upper,E(c),10.24,"5,663"
275,31.878,79.984,Indus Upper,E(o),27.77,"5,514"
276,34.282,80.09,Shyok,M(e),25.66,"5,697"
277,34.324,80.84,Shyok,M(lg),13.22,"5,742"
278,34.316,80.858,Shyok,I(d),232.34,"5,709"
279,34.307,80.982,Shyok,M(e),42.6,"5,729"
280,32.423,80.865,Indus Upper,O,58.84,"4,452"
281,34.299,81.202,Shyok,O,61.15,"5,274"
282,34.341,81.257,Shyok,E(o),51.89,"5,298"
283,31.9,80.001,Indus Upper,E(o),20.08,"5,476"
284,31.881,79.999,Indus Upper,E(o),13.93,"5,511"
285,31.694,80.664,Indus Upper,M(e),14.11,"5,532"
286,31.499,80.948,Indus Upper,O,19.6,"5,238"
287,31.495,80.985,Indus Upper,O,24.74,"5,386"
288,31.474,80.992,Indus Upper,O,26.9,"5,408"
289,30.552,80.4,Satluj,M(e),26.56,"4,990"
290,30.477,80.592,Satluj,M(e),12.63,"5,263"
291,31.985,81.063,Indus Upper,O,11.79,"4,734"
292,31.442,81.157,Indus Upper,O,13.01,"5,240"
293,31.285,81.032,Satluj,M(e),13.53,"5,617"
294,31.285,81.176,Indus Upper,E(o),18.1,"5,171"
295,31.26,81.133,Indus Upper,E(o),12.43,"5,530"
296,31.234,81.138,Satluj,M(e),10.92,"5,562"
297,31.182,81.195,Satluj,E(o),52.48,"5,413"
298,31.179,81.152,Satluj,M(e),19.91,"5,514"
299,31.153,81.243,Indus Upper,E(o),15.57,"5,651"
300,31.284,81.631,Indus Upper,O,25.89,"5,259"
301,31.274,81.595,Indus Upper,O,156.89,"5,229"
302,31.272,81.518,Indus Upper,O,28.77,"5,172"
303,30.431,81.433,Satluj,E(o),192.62,"5,484"
304,30.43,81.463,Satluj,M(o),13.7,"5,572"
305,30.416,81.468,Satluj,M(e),10.02,"5,603"
306,30.409,81.476,Satluj,M(o),11.76,"5,542"
307,30.515,81.702,Satluj,E(o),10.17,"4,818"
308,30.43,81.714,Satluj,E(o),23.45,"5,184"
309,30.421,81.721,Satluj,E(o),18.94,"5,247"
310,30.393,81.533,Satluj,E(o),17.49,"5,128"
311,30.463,81.993,Satluj,O,20.76,"5,161"
312,30.427,81.871,Satluj,E(o),21.31,"5,338"
313,30.419,81.868,Satluj,E(o),14.11,"5,356"
314,30.399,81.853,Satluj,M(e),13.91,"5,722"
315,30.392,81.964,Satluj,M(e),20.83,"5,675"
316,30.39,81.818,Satluj,M(e),14.51,"5,544"
317,30.39,81.895,Satluj,M(e),10.27,"5,441"
318,30.385,81.93,Satluj,M(e),59.79,"5,224"
319,30.385,81.841,Satluj,M(e),12.42,"5,571"
320,30.592,82.084,Satluj,E(o),10.15,"5,382"
321,30.376,82.02,Satluj,M(e),11.62,"5,493"
322,31.231,78.211,Yamuna,E(o),10.66,"4,264"
