ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
420,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2018,2018-01-25,2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,937220,4970,2018-01-25,Planetscope,1108807_1816418_2018-01-25_1032_BGRN_SR_clip,2,476444,3332,2018-03-20,Planetscope,1275478_1816418_2018-03-20_0f33_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
421,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2019,2019-02-11,2019-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,992856,4945,2019-02-11,Planetscope,2109653_1816418_2019-02-11_0e0f_BGRN_SR_clip,2,343828,3155,2019-03-09,Planetscope,2188621_1816418_2019-03-09_0f46_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
422,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2020,2020-02-10,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1149084,5403,2020-02-10,Planetscope,3124017_1816418_2020-02-10_1060_BGRN_SR_clip,2,522007,3784,2020-02-20,Planetscope,3158031_1816418_2020-02-20_104b_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
423,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2021,2021-03-17,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1062221,4978,2021-03-17,Planetscope,4276330_1816418_2021-03-17_0e0f_BGRN_SR_clip,2,478796,3694,2021-03-28,Planetscope,4314706_1816418_2021-03-28_0e26_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
424,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2022,2022-05-18,2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1051281,4907,2022-05-18,Planetscope,5643477_1816418_2022-05-18_2475_BGREN_Analytic_clip,2,651881,3759,2022-06-01,Planetscope,5678307_1816418_2022-06-01_2407_BGREN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
424,Southern Andes,Patagonia,Chile,Pio XI,RGI60-17.05181,1234.714,Laguna Ciega 2,ice,-73.88,-49.10,,2023,2023-04-13,2023-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1010509,,2023-04-13,Planetscope,20230413_143653_04_2426_3B_AnalyticMS_SR_clip,2,593095,,2023-05-06,Planetscope,20230506_143154_29_241c_3B_AnalyticMS_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
425,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2013,2013-09-20,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,884903,,2013-10-22,Landsat 7,2013-10-22-00_00_2013-10-22-23_59_Landsat_7_ETM+_L2_False_color,1,0,,2013-09-20,Landsat 7,2013-09-20-00_00_2013-09-20-23_59_Landsat_7_ETM+_L2_False_color,1,Ice-water interface difficult to determine; not sure whether the lake is really completely empty afterwards,,,,,,,,,,,,,,,,,,,,
425,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2016,2015-11-04,2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1181397,,2015-11-05,Landsat 8,2015-11-05-00_00_2015-11-05-23_59_Landsat_8-9_L1_False_color,1,657207,,2016-01-18,Landsat 8,2016-01-08-00_00_2016-01-08-23_59_Landsat_8-9_L1_False_color,2,Ice-water interface difficult to determine,,,,,,,,,,,,,,,,,,,,
425,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2016,2016-01-18,2016-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,657207,,2016-01-18,Landsat 8,2016-01-08-00_00_2016-01-08-23_59_Landsat_8-9_L1_False_color,2,334167,,2016-03-12,Landsat 8,2016-03-12-00_00_2016-03-12-23_59_Landsat_8-9_L1_False_color,1,ice cover afterwards,,,,,,,,,,,,,,,,,,,,
425,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2017,2017-04-15,2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,780507,,2017-04-15,Planetscope,20170415_140204_0e26_3B_AnalyticMS_clip,2,0,0,2017-05-11,Planetscope,20170511_135630_0f4e_3B_AnalyticMS_clip,2,,,,,,,,,,,,,,,,,,,,,
425,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2018-05,2018-05-16,2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,735792,4374,2018-05-16,Planetscope,1430648_1817318_2018-05-16_0f40_BGRN_SR_clip,2,0,0,2018-05-30,Planetscope,1467413_1817318_2018-05-30_0f22_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
426,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2018-09,2018-08-11,2018-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,719176,4567,2018-08-11,Planetscope,1623913_1817318_2018-08-11_0f35_BGRN_SR_clip,2,0,0,2018-09-22,Planetscope,1716817_1817318_2018-09-22_1009_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
427,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2019-04,2019-03-28,2019-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,629320,4683,2019-03-28,Planetscope,1817318_2019-03-28_RE2_3A_Analytic_SR_clip,2,0,0,2019-04-20,Planetscope,2298458_1817318_2019-04-20_0f21_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
428,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2020-01,2020-01-12,2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,524565,3951,2020-01-12,Planetscope,3027603_1817318_2020-01-12_0f3d_BGRN_SR_clip,2,0,0,2020-01-13,Planetscope,1817318_2020-01-13_RE1_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
429,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2021-01,2020-12-25,2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,774092,4683,2020-12-25,Planetscope,4014885_1817318_2020-12-25_2401_BGRN_SR_clip,2,0,0,2021-01-04,Planetscope,4042677_1817318_2021-01-04_0f2b_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
430,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2021-07,2021-06-27,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,751457,4413,2021-06-27,Planetscope,4630838_1817318_2021-06-27_0f4e_BGRN_SR_clip,2,0,0,2021-08-03,Planetscope,4759403_1817318_2021-08-03_2465_BGRN_SR_clip,1,,,,,,,,,,,,,,,,,,,,,
431,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2022-06,2022-05-14,2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,507597,4044,2022-05-14,Planetscope,5636498_1817318_2022-05-14_240a_BGREN_Analytic_clip,2,356886,2937,2022-07-21,Planetscope,5801515_1817318_2022-07-21_2480_BGREN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
431,Southern Andes,Patagonia,Chile,HPN1,RGI60-17.15899,153.237,unknown,ice,-73.82,-47.18,,2023,2023-05-09,2023-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,668784,,2023-05-09,Planetscope,20230509_133416_48_2445_3B_AnalyticMS_SR_clip,2,305939,,2023-06-11,Planetscope,20230610_142946_34_247d_3B_AnalyticMS_SR_clip,1,Seems that there is still water beneath the ice in after image,,,,,,,,,,,,,,,,,,,,
432,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2000,1999-08-21,2000-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2498782,10504,1999-08-21,Landsat 5,1999-08-21-00_00_1999-08-21-23_59_Landsat_4-5_TM_L2_False_color,2,101913,1792,2000-03-08,Landsat 7,2000-03-08-00_00_2000-03-08-23_59_Landsat_7_ETM+_L2_True_Color,2,,,,,,,,,,,,,,,,,,,,,
433,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2002,2001-12-16,2002-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2756767,10422,2001-12-16,Landsat 5,2001-12-16-00_00_2001-12-16-23_59_Landsat_4-5_TM_L2_False_color,2,1942950,7087,2002-02-10,Landsat 7,2002-02-10-00_00_2002-02-10-23_59_Landsat_7_ETM+_L2_False_color,1,cannot differentiate between cloud/ice,,,,,,,,,,,,,,,,,,,,
434,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2004,2004-03-11,2004-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2607466,10147,2004-03-11,Landsat 5,2004-03-11-00_00_2004-03-11-23_59_Landsat_4-5_TM_L1_True_color,2,1076447,5657,2004-07-25,Landsat 7,2004-07-25-00_00_2004-07-25-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,1,stripes,,,,,,,,,,,,,,,,,,,,
435,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2007,2007-01-07,2007-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2682395,10040,2007-01-07,Landsat 7,2007-01-07-00_00_2007-01-07-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,1,0,0,2007-04-29,Landsat 7,2007-04-29-00_00_2007-04-29-23_59_Landsat_7_ETM+_L2_False_color,1,stripes and clouds,,,,,,,,,,,,,,,,,,,,
436,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2009,2009-01-12,2009-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2333468,9505,2009-01-12,Landsat 7,2009-01-12-00_00_2009-01-12-23_59_Landsat_7_ETM+_L2_False_color,1,0,0,2009-04-18,Landsat 7,2009-04-18-00_00_2009-04-18-23_59_Landsat_7_ETM+_L2_True_Color,1,stripes,,,,,,,,,,,,,,,,,,,,
437,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2011-07,2011-06-01,2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2495506,11773,2011-02-19,RapidEye,1817518_2011-02-19_RE3_3A_Analytic_SR_clip,2,40126,2722,2011-06-01,RapidEye,1817518_2011-06-01_RE5_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
438,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2013,2013-05-23,2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2492024,10005,2013-05-23,Landsat 8,2013-05-23-00_00_2013-05-23-23_59_Landsat_8-9_L2_Highlight_Optimized_Natural_Color,1,0,0,2013-07-17,Landsat 8,2013-07-17-00_00_2013-07-17-23_59_Landsat_8-9_L2_Highlight_Optimized_Natural_Color,1,part of after-image missing,,,,,,,,,,,,,,,,,,,,
439,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2015,2015-04-11,2015-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2405730,9588,2015-04-11,Landsat 8,2015-04-11-00_00_2015-04-11-23_59_Landsat_8-9_L1_Highlight_Optimized_Natural_Color,2,0,0,2015-08-08,Landsat 8,2015-08-08-00_00_2015-08-08-23_59_Landsat_8-9_L1_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
440,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2017,2017-04-15,2017-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2074986,9501,2017-04-15,RapidEye,1817518_2017-04-15_RE2_3A_Analytic_SR_clip,2,819753,4558,2017-07-15,Planetscope,625259_1817518_2017-07-15_0e1f_BGRN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
441,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2019,2019-02-11,2019-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2186761,10290,2019-02-11,Planetscope,2109667_1817518_2019-02-11_0f3f_BGRN_SR_clip,2,0,0,2019-03-09,RapidEye,1817518_2019-03-09_RE2_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
442,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2020,2020-07-28,2020-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2191327,8805,2020-07-28,Planetscope,3607368_1817518_2020-07-28_106e_BGRN_SR_clip,2,0,0,2020-08-09,Planetscope,3637129_1817518_2020-08-09_1038_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
443,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,San Rafael,ice,-73.76,-46.73,,2022-05,2022-05-16,2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1755980,16356,2022-05-16,Planetscope,5639891_1817518_2022-05-16_2407_BGREN_Analytic_clip,2,0,0,2022-05-18,Planetscope,5643584_1817518_2022-05-18_240c_BGREN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
445,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,1999,1998-11-06,1999-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3033112,12510,1998-11-06,Landsat 5,1998-11-06-00_00_1998-11-06-23_59_Landsat_4-5_TM_L2_False_color,2,498685,4575,1999-03-23,Landsat 5,1999-03-23-00_00_1999-03-23-23_59_Landsat_4-5_TM_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
446,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2000,2000-04-02,2000-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3903236,15371,2000-04-02,Landsat 7,2000-04-02-00_00_2000-04-02-23_59_Landsat_7_ETM+_L2_True_Color,2,224372,2117,2000-08-23,Landsat 5,2000-08-23-00_00_2000-08-23-23_59_Landsat_4-5_TM_L2_True_color,1,much ice,,,,,,,,,,,,,,,,,,,,
447,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2001,2001-03-12,2001-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3061176,14926,2001-03-12,Landsat 5,2001-03-12-00_00_2001-03-12-23_59_Landsat_4-5_TM_L2_False_color,2,297395,2802,2001-05-07,Landsat 7,2001-05-07-00_00_2001-05-07-23_59_Landsat_7_ETM+_L2_False_color,1,huge shadow,,,,,,,,,,,,,,,,,,,,
448,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2003,2002-12-11,2003-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,4306613,17200,2002-12-11,Landsat 7,2002-12-11-00_00_2002-12-11-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,2077,178,2003-04-02,Landsat 7,2003-04-02-00_00_2003-04-02-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
449,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2004,2003-11-12,2004-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2505609,11515,2003-11-12,Landsat 7,2003-11-12-00_00_2003-11-12-23_59_Landsat_7_ETM+_L2_False_color,1,1491566,9380,2004-03-11,Landsat 5,2004-03-11-00_00_2004-03-11-23_59_Landsat_4-5_TM_L2_False_color,2,stripes in before-image,,,,,,,,,,,,,,,,,,,,
450,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2004,2004-09-28,2004-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2746887,11725,2004-09-28,Landsat 5,2004-09-28-00_00_2004-09-28-23_59_Landsat_4-5_TM_L2_False_color,1,0,0,2004-11-15,Landsat 5,2004-11-15-00_00_2004-11-15-23_59_Landsat_4-5_TM_L2_False_color,1,"shadow, clouds, ice",,,,,,,,,,,,,,,,,,,,
451,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2006,2006-02-22,2006-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1532128,9529,2006-02-22,Landsat 5,2006-02-22-00_00_2006-02-22-23_59_Landsat_4-5_TM_L2_False_color,2,129064,2093,2006-09-02,Landsat 5,2006-09-02-00_00_2006-09-02-23_59_Landsat_4-5_TM_L2_False_color,1,shadow ,,,,,,,,,,,,,,,,,,,,
452,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2008,2007-11-23,2008-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2964656,13086,2007-11-23,Landsat 7,2007-11-23-00_00_2007-11-23-23_59_Landsat_7_ETM+_L2_False_color,1,0,0,2008-04-24,Landsat 7,2008-04-24-00_00_2008-04-24-23_59_Landsat_7_ETM+_L2_False_color,1,stripes  ,,,,,,,,,,,,,,,,,,,,
453,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2009,2009-08-17,2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3124419,10236,2009-08-17,Landsat 7,2009-08-17-00_00_2009-08-17-23_59_Landsat_7_ETM+_L2_False_color,1,0,0,2009-09-18,Landsat 7,2009-09-18-00_00_2009-09-18-23_59_Landsat_7_ETM+_L2_False_color,1,stripes  ,,,,,,,,,,,,,,,,,,,,
453,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2010,2010-11-07,2011-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3563968,,2010-11-07,Landsat 5,2010-11-07-00_00_2010-11-07-23_59_Landsat_4-5_TM_L2_False_color,2,0,0,2011-01-02,Landsat 7,2011-01-02-00_00_2011-01-02-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
455,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2012,2012-01-05,2012-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2556412,12019,2012-01-05,Landsat 7,2012-01-05-00_00_2012-01-05-23_59_Landsat_7_ETM+_L2_False_color,1,0,0,2012-01-21,Landsat 7,2012-01-21-00_00_2012-01-21-23_59_Landsat_7_ETM+_L2_False_color,1,stripes  ,,,,,,,,,,,,,,,,,,,,
456,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2013,2013-03-28,2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3890131,14226,2013-03-28,Landsat 7,2013-03-28-00_00_2013-03-28-23_59_Landsat_7_ETM+_L2_False_color,1,0,0,2013-05-28,RapidEye,1816517_2013-05-28_RE3_3A_Analytic_SR_clip,2,stripes  ,,,,,,,,,,,,,,,,,,,,
457,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2015,2015-01-14,2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,4636835,16934,2015-01-14,Landsat 8,2015-01-14-00_00_2015-01-14-23_59_Landsat_8-9_L1_Highlight_Optimized_Natural_Color,2,1958,207,2015-02-27,RapidEye,1816517_2015-02-27_RE5_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
458,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2015,2015-11-21,2015-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1662370,9637,2015-11-21,Landsat 8,2015-11-21-00_00_2015-11-21-23_59_Landsat_8-9_L1_False_color,2,0,0,2015-12-23,Landsat 8,2015-12-23-00_00_2015-12-23-23_59_Landsat_8-9_L1_False_color,1,"shadow, clouds, ice",,,,,,,,,,,,,,,,,,,,
459,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2016,2016-05-08,2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,2598110,15617,2016-05-08,Landsat 8,2016-05-08-00_00_2016-05-08-23_59_Landsat_8-9_L2_Highlight_Optimized_Natural_Color,1,0,0,2016-08-19,Landsat 8,2016-08-19-00_00_2016-08-19-23_59_Landsat_8-9_L1_False_color,2,"shadow, clouds, ice",,,,,,,,,,,,,,,,,,,,
460,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2018,2017-12-03,2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,4356039,18439,2017-12-03,Planetscope,961523_1816517_2017-12-03_0f12_BGRN_Analytic_clip,2,0,0,2018-01-25,Planetscope,1108839_1816517_2018-01-25_0f3f_BGRN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
461,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2018,2018-03-20,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,367322,4033,2018-03-20,Planetscope,1276264_1816517_2018-03-20_1012_BGRN_SR_clip,2,0,0,2018-03-27,Planetscope,1304176_1816517_2018-03-27_1052_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
453,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2020,2020-08-07,2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,3948911,,2020-08-07,Planetscope,20200807_140026_62_220b_3B_AnalyticMS_SR_clip,2,466383,,2020-08-25,Planetscope,20200825_142825_1001_3B_AnalyticMS_SR_clip,1,"Very heavily ice covered afterwards, but there seems to be some water remaining",,,,,,,,,,,,,,,,,,,,
462,Southern Andes,Patagonia,Chile,Occidental,RGI60-17.05470,235.148,,ice,-74.04,-48.81,,2019,2019-03-26,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,Georg Veh,,1726820,10918,2019-03-26,Planetscope,2233653_1816517_2019-03-26_1012_BGRN_SR_clip,2,180956,2413,2019-04-17,Planetscope,2291842_1816517_2019-04-17_103a_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
