10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,,3269,1,289.5437,ice,42.207,79.846,2003,pos,396.1181564714431,0,4590.0,0,0,True,446.30577922077833,2.95985412132996
,,3551,1,1.2776,ice,36.84,73.92,2004,pos,3568.324753033535,0,5044.0,0,0,True,4.149001323136527,359.8456312063392
,,5363,1,,ice,30.267,81.474,2004,pos,1182.5315243578225,1,5446.0,4,1,False,0.0,0.0
,,3269,1,350.59340000000003,ice,42.207,79.846,2004,pos,396.1181564714431,0,4590.0,0,0,True,446.30577922077833,2.95985412132996
,,4779,1,223.2507,ice,35.677,77.193,2004,pos,9444.515664037286,0,5524.0,0,0,True,1036.8106749478602,0.7185497005395561
,,4403,1,,other,36.384,72.706,2005,pos,62.786733425222515,0,4876.0,0,0,False,88.27843220331903,5.3580471265122505
,,3600,1,,moraine,42.537,74.427,2005,pos,15.213456542195203,0,3863.0,0,0,False,438.26358876424786,0.6000954830438213
,,3269,1,273.5822,ice,42.207,79.846,2005,pos,396.1181564714431,0,4590.0,0,0,True,446.30577922077833,2.95985412132996
,,3542,1,33.196000000000005,other,43.128,77.509,2005,pos,451.6630229969171,0,3822.0,0,0,True,165.946078528152,1.6872950688768416
,,4762,1,,moraine,36.027,73.196,2005,pos,5.679545589936141,0,4781.0,0,0,False,144.533488705546,0.131457423259935
,,4779,1,221.2477,ice,35.677,77.193,2005,pos,9444.515664037286,0,5524.0,0,0,True,1036.8106749478602,0.7185497005395561
0.1403409711985762,0.4367659847804642,5052,1,11.304360025361008,moraine,29.752,96.465,2006,pos,308.64900313465694,0,5162.0,0,0,False,3.2705032253926034,33.63396774720967
,,5363,1,,ice,30.267,81.474,2006,pos,1182.5315243578225,1,5446.0,4,1,False,0.0,0.0
,,3861,1,3.6286,moraine,41.859,76.995,2006,pos,23.150194426182768,1,3927.0,1,0,True,0.0,0.0
,,3269,1,211.5032,ice,42.207,79.846,2006,pos,396.1181564714431,0,4590.0,0,0,True,446.30577922077833,2.95985412132996
,,4779,1,128.3359,ice,35.677,77.193,2006,pos,9444.515664037286,0,5524.0,0,0,True,1036.8106749478602,0.7185497005395561
,,3090,1,,other,36.428,74.806,2007,pos,7518.40795003588,1,4647.0,3,0,False,0.0,0.0
,,5363,1,,ice,30.267,81.474,2007,pos,1182.5315243578225,1,5446.0,4,1,False,0.0,0.0
-47.35035584421432,,3269,1,5.188979638237347,ice,42.207,79.846,2007,pos,37334.18715891103,0,4369.0,0,0,False,545.0174680673999,2.0311275598658467
0.3637587522511609,1.217875813154322,5301,1,97.42889195877902,moraine,28.278,90.225,2007,pos,9308.514278229808,1,5773.0,1,0,False,0.0,0.0
,,2551,1,,moraine,36.457,74.879,2008,pos,6222.494125174963,0,4702.0,0,0,False,225.02897503437825,9.55876904150404
,,3090,1,,other,36.428,74.806,2008,pos,7518.40795003588,1,4647.0,3,0,False,0.0,0.0
,,3090,1,,other,36.428,74.806,2008,pos,7518.40795003588,1,4647.0,3,0,False,0.0,0.0
,,3090,1,,other,36.428,74.806,2008,pos,7518.40795003588,1,4647.0,3,0,False,0.0,0.0
,,4779,1,35.8967,ice,35.677,77.193,2008,pos,9444.515664037286,0,5524.0,0,0,True,1036.8106749478602,0.7185497005395561
,,5363,1,,ice,30.267,81.474,2008,pos,1182.5315243578225,1,5446.0,4,1,False,0.0,0.0
,,3090,1,,other,36.428,74.806,2008,pos,7518.40795003588,1,4647.0,3,0,False,0.0,0.0
