Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
moraine,85.515,28.131,2021,,4765,1,moraine,0
ice,79.846,42.207,2021,198.36450000000002,3269,1,ice,0
supraglacial,69.639,35.46,2021,1.9018000000000002,4345,1,ice,1
moraine,90.977,48.624,2021,7.247000000000001,3405,1,moraine,0
moraine,77.422,34.0,2021,2.7177000000000002,5245,1,moraine,0
ice,74.563,36.361,2022,32.524300000000004,2722,1,ice,0
ice,79.846,42.207,2022,208.4975,3269,1,ice,0
ice,79.846,42.207,2023,152.59910000000002,3269,1,ice,0
moraine,88.195,27.913,2023,164.90300000000002,5207,1,moraine,0
moraine,98.004,28.717,2017,1.8151000000000002,4651,1,moraine,0
M(e),72.901,36.412,2019,11.23,4256,0,moraine,0
O,73.048,36.263,2019,21.68,4618,0,other,0
M(e),73.407,36.642,2019,14.06,2748,0,moraine,0
E(o),73.384,36.131,2019,23.35,4503,0,other,0
E(o),73.423,36.116,2019,21.76,4437,0,other,0
E(o),73.449,36.112,2019,11.22,4427,0,other,0
E(o),73.465,36.108,2019,21.58,4488,0,other,0
E(o),73.461,36.086,2019,13.98,4577,0,other,0
E(o),73.328,36.024,2019,10.65,4559,0,other,0
E(o),73.312,36.0,2019,13.08,4615,0,other,0
O,73.704,36.879,2019,262.57,4286,0,other,0
O,73.646,36.644,2019,105.07,3821,0,other,0
E(o),73.566,36.431,2019,12.25,4030,0,other,0
E(o),73.514,36.351,2019,17.25,4420,0,other,0
E(o),73.616,36.154,2019,13.83,4545,0,other,0
E(o),73.639,36.145,2019,17.96,4484,0,other,0
E(o),73.505,36.129,2019,23.11,4482,0,other,0
E(c),73.668,36.096,2019,10.48,4423,0,other,0
O,73.646,36.08,2019,28.87,4344,0,other,0
E(o),73.592,36.039,2019,18.87,4274,0,other,0
E(o),73.714,36.03,2019,10.47,4320,0,other,0
E(o),73.558,36.011,2019,24.48,4232,0,other,0
O,73.955,36.265,2019,27.89,3706,0,other,0
E(o),74.084,36.239,2019,20.57,3453,0,other,0
I(s),75.136,36.137,2019,24.88,3697,0,ice,1
I(s),75.14,36.126,2019,12.99,3725,0,ice,1
E(o),75.686,36.44,2019,28.09,4709,0,other,0
O,72.613,35.994,2019,201.58,3622,0,other,0
O,72.595,35.944,2019,96.35,3761,0,other,0
E(o),72.94,35.869,2019,20.01,4378,0,other,0
E(v),72.98,35.855,2019,13.35,4325,0,other,0
O,73.064,35.92,2019,21.34,4303,0,other,0
E(o),73.155,35.906,2019,24.24,4328,0,other,0
E(o),73.073,35.871,2019,15.95,4617,0,other,0
E(o),73.228,35.829,2019,12.38,4195,0,other,0
E(c),73.211,35.825,2019,26.44,4271,0,other,0
E(o),73.216,35.73,2019,26.36,3970,0,other,0
E(o),73.313,35.987,2019,10.23,4583,0,other,0
E(o),73.397,35.962,2019,18.84,4349,0,other,0
E(o),73.289,35.949,2019,54.23,4228,0,other,0
E(c),73.365,35.945,2019,67.34,4162,0,other,0
E(o),73.269,35.936,2019,11.45,4362,0,other,0
E(o),73.274,35.925,2019,11.46,4227,0,other,0
E(o),73.342,35.925,2019,11.69,4396,0,other,0
E(o),73.371,35.918,2019,12.25,4502,0,other,0
O,73.297,35.817,2019,15.36,2981,0,other,0
E(c),73.256,35.739,2019,18.92,4016,0,other,0
E(c),73.344,35.675,2019,25.12,3428,0,other,0
E(o),73.357,35.652,2019,19.01,3735,0,other,0
E(o),73.352,35.643,2019,13.95,3747,0,other,0
E(o),73.568,35.904,2019,18.03,4109,0,other,0
E(o),73.692,35.889,2019,11.02,3995,0,other,0
E(c),73.577,35.88,2019,30.86,4059,0,other,0
E(o),73.615,35.877,2019,14.58,3993,0,other,0
E(o),73.746,35.865,2019,84.31,4140,0,other,0
E(o),73.507,35.783,2019,12.26,3918,0,other,0
E(o),73.572,35.782,2019,22.07,4082,0,other,0
E(c),73.911,35.972,2019,29.25,4426,0,other,0
E(o),73.985,35.939,2019,19.57,4258,0,other,0
E(o),73.945,35.917,2019,12.08,4178,0,other,0
E(o),73.992,35.916,2019,11.42,4312,0,other,0
E(o),73.922,35.906,2019,15.98,4223,0,other,0
E(o),73.763,35.882,2019,40.94,4104,0,other,0
E(o),73.929,35.868,2019,17.55,4064,0,other,0
E(o),73.869,35.858,2019,15.26,4211,0,other,0
E(o),73.775,35.856,2019,28.28,3962,0,other,0
E(o),73.877,35.852,2019,19.43,4166,0,other,0
E(o),73.799,35.247,2019,17.06,3988,0,other,0
E(o),73.958,35.184,2019,10.49,4120,0,other,0
E(o),73.985,34.83,2019,20.67,3873,0,other,0
E(o),74.019,35.962,2019,15.37,4285,0,other,0
