,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
758,758,M(e),83.861,30.457,2019,17.69,5710,0,moraine,0,30.19027710543159,29.493555270767335,30.190277105446327,0.13934436693579855
759,759,M(e),83.846,30.453,2019,22.55,5580,0,moraine,0,30.19027710543159,29.493555270767335,30.190277105446327,0.13934436693579855
760,760,O,83.764,29.47,2019,77.62,5282,0,other,0,86.3104309788864,76.69446407802421,86.31043097888275,1.9231933801717076
761,761,M(o),84.537,29.887,2019,10.44,5638,0,moraine,0,11.836888544965948,9.109157232110856,11.83688854497312,0.5455462625724525
762,762,E(o),84.744,29.122,2019,14.81,5049,0,other,0,12.5514652301247,7.217087533448136,12.551465230093509,1.0668755393290748
763,763,E(o),84.839,29.076,2019,11.36,5434,0,other,0,9.574799119600216,6.984897333917668,9.574799119600154,0.5179803571364973
764,764,M(e),84.3,28.928,2019,20.69,5431,0,moraine,0,18.70541622695474,17.683747682779455,18.70541622695732,0.20433370883557272
765,765,E(o),84.348,28.909,2019,11.92,5356,0,other,0,22.7229878307468,19.420630892831934,22.722987830777704,0.6604713875891541
766,766,M(e),84.508,28.908,2019,35.26,5539,0,moraine,0,41.81803339880724,37.10165866054535,41.81803339898502,0.9432749476879352
767,767,O,87.38,29.162,2019,11.04,4485,0,other,0,7.76320507696344,0.39208208403535844,7.763205076961992,1.4742245985853266
768,768,E(o),87.925,29.642,2019,11.38,5282,0,other,0,5.385248585416385,1.7950816457264445,5.385248585419193,0.7180333879385496
769,769,E(o),87.916,29.584,2019,12.16,5424,0,other,0,10.698558731864676,10.386186631730778,10.698558731867605,0.06247442002736534
770,770,O,87.568,28.847,2019,10.39,5288,0,other,0,125.78834618395274,116.58438639968554,125.78834618395469,1.840791956853829
771,771,O,87.56,28.832,2019,140.16,5296,0,other,0,128.93534739393456,119.10198767939943,128.93534739393706,1.9666719429075272
772,772,M(e),87.625,28.804,2019,17.1,5528,0,moraine,0,26.27853276856807,22.191799768308186,26.27853276859098,0.817346600056559
773,773,M(o),87.603,28.799,2019,11.84,5591,0,moraine,0,26.27853276856807,15.186933153676978,26.27853276859098,2.2183199229828006
774,774,M(e),87.641,28.796,2019,26.55,5344,0,moraine,0,25.103460143712613,22.191799768308186,25.103460143714443,0.5823320750812513
775,775,E(o),88.24,29.754,2019,29.88,5600,0,other,0,26.194476154944915,16.449439172661847,26.194476154947388,1.9490073964571082
776,776,E(o),88.236,29.722,2019,14.3,5422,0,other,0,11.5418067758005,9.748146306878215,11.541806775795973,0.3587320937835514
777,777,E(o),88.007,29.631,2019,12.11,5410,0,other,0,10.147178219837672,9.054402862029788,10.147178219838208,0.21855507156168413
778,778,E(o),88.95,29.5,2019,14.97,5391,0,other,0,12.192460457212906,11.254577943509176,12.192460457213405,0.1875765027408459
