,Elevation_m,GLOF,Lake_type,Lake_type_simplified,Latitude,Longitude,Year_final,id,is_supraglacial,Lake_area_calculated_ha,Lake_area_ha
190,5530,1,moraine,moraine,30.31,82.2,2015,190,0,29.846888068606873,26.4375
191,5493,1,moraine,moraine,27.943,87.896,2015,191,0,68.39632434283155,11.9375
192,3269,1,ice,ice,42.207,79.846,2016,192,0,293.0980834333344,153.19740000000002
193,3363,1,ice,ice,36.784,74.004,2016,193,0,0.8629866216640066,6.9707
194,4960,1,supraglacial,ice,27.906,86.891,2016,194,1,50.63652609478478,1.0697
195,4779,1,ice,ice,35.677,77.193,2016,195,0,52.09033256213909,116.2059
196,4608,1,moraine,moraine,28.078,86.064,2016,196,0,46.97598371532999,1.0738
197,4779,1,ice,ice,35.677,77.193,2016,197,0,52.09033256213909,156.9335
198,4793,1,moraine,moraine,27.813,87.139,2017,198,0,56.5415149879333,7.5998
199,3269,1,ice,ice,42.207,79.846,2017,199,0,288.165018877718,159.6097
200,5212,1,supraglacial,ice,27.989,86.811,2017,200,1,28.70892088315636,16.0
201,3475,1,ice,ice,36.342,75.479,2017,201,0,6.797266876391491,9.6146
202,5117,1,water pocket,other,34.588,76.733,2017,202,0,19.587741210502937,
203,3835,1,moraine,moraine,42.4,74.7,2017,203,0,5.3045697684676805,
204,4779,1,ice,ice,35.677,77.193,2017,204,0,14.371834266288213,211.6095
205,3475,1,ice,ice,36.342,75.479,2018,205,0,8.677971344568109,21.7296
206,3475,1,ice,ice,36.342,75.479,2018,206,0,8.677971344568109,1.3004
207,3475,1,ice,ice,36.342,75.479,2018,207,0,8.677971344568109,
208,5361,1,moraine,moraine,28.245,86.321,2018,208,0,119.3155988621328,21.421
209,4454,1,moraine,moraine,35.47,69.628,2018,209,0,4.899493462003118,6.4076
210,4369,1,water pocket,other,36.5,74.06,2018,210,0,162.58714691641947,
211,3269,1,ice,ice,42.207,79.846,2018,211,0,44.43703955565446,291.01120000000003
212,4779,1,ice,ice,35.677,77.193,2018,212,0,31.649878138067468,224.4636
213,3475,1,ice,ice,36.342,75.479,2019,213,0,11.570664614480666,10.3711
214,4453,1,moraine,moraine,28.106,90.263,2019,214,0,135.13009129171837,
215,2722,1,ice,ice,36.361,74.563,2019,215,0,0.1446549189453982,25.6442
216,3269,1,ice,ice,42.207,79.846,2019,216,0,51.09687544322646,221.391
217,4412,1,moraine,moraine,35.86,71.97,2019,217,0,27.66161933378876,4.9455
218,4779,1,ice,ice,35.677,77.193,2019,218,0,33.337510048009825,57.1429
219,3754,1,moraine,moraine,41.978,77.267,2019,219,0,2.8715593869942415,3.0330000000000004
220,3515,1,ice,ice,43.007,76.847,2019,220,0,8.995166865690662,3.0907
221,2722,1,ice,ice,36.361,74.563,2020,221,0,0.21694807775397298,25.6801
222,2722,1,ice,ice,36.361,74.563,2020,222,0,0.21694807775397298,27.7652
223,4442,1,moraine,moraine,30.356,93.631,2020,223,0,164.49570757652222,55.7421
224,4412,1,supraglacial,ice,35.86,71.97,2020,224,1,9.681576671818007,4.8362
225,3257,1,moraine,moraine,30.436,94.544,2020,225,0,51.96028853793526,30.2345
226,3269,1,ice,ice,42.207,79.846,2020,226,0,234.8761729245444,224.0476
227,4942,1,unknown,other,36.853,73.023,2020,227,0,44.25254695216794,
228,3475,1,ice,ice,36.342,75.479,2021,228,0,3.6899814445432844,19.1994
229,2722,1,ice,ice,36.361,74.563,2021,229,0,2.8203785555516157,40.5861
230,4281,1,water pocket,other,36.33,73.68,2021,230,0,3.907028519061659,
231,4765,1,moraine,moraine,28.131,85.515,2021,231,0,23.126267879245024,
232,3269,1,ice,ice,42.207,79.846,2021,232,0,529.0503644890548,198.3645
233,4345,1,supraglacial,ice,35.46,69.639,2021,233,1,2.1941481993943555,1.9018
234,3405,1,moraine,moraine,48.624,90.977,2021,234,0,72.94420461018055,7.247000000000001
235,5245,1,moraine,moraine,34.0,77.422,2021,235,0,3.647929542099669,2.7177
236,2722,1,ice,ice,36.361,74.563,2022,236,0,4.845223665579367,32.524300000000004
237,3269,1,ice,ice,42.207,79.846,2022,237,0,564.8919135849113,208.4975
238,3269,1,ice,ice,42.207,79.846,2023,238,0,372.4631439232312,152.59910000000002
239,5207,1,moraine,moraine,27.913,88.195,2023,239,0,153.86454811508463,164.90300000000002
240,4651,1,moraine,moraine,28.717,98.004,2017,240,0,53.07378893601188,1.8151
